,street_number,post_municipality,telephone,type_store,Angebot,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,gmaps_link
52, Bahnhofplatz 8a,8152 Glattbrugg,058 999 14 41,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Bahnhofplatz%208a,%208152,Glattbrugg,%20Switzerland"
53, Freiestrasse 52,8952 Schlieren,058 999 04 11,Denner Express,Bargeldbezug mit Post- / M-Card,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Freiestrasse%2052,%208952,Schlieren,%20Switzerland"
54, Florastrasse 10,8134 Adliswil,058 999 06 56,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,08:00 - 18:00,"https://maps.google.com/maps?saddr&daddr=Florastrasse%2010,%208134,Adliswil,%20Switzerland"
55, Wallisellerstrasse 114/116,8152 Opfikon,058 999 65 02,Denner Partner,"Humidor, Bargeldbezug mit Post- / M-Card, Poststelle",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Wallisellerstrasse%20114/116,%208152,Opfikon,%20Switzerland"
56, Neuweg 4,8600 Dübendorf,058 999 04 20,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Neuweg%204,%208600,D%C3%BCbendorf,%20Switzerland"
57, Rietbachstrasse 14,8952 Schlieren,058 999 13 98,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card, Spezial Biere",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Rietbachstrasse%2014,%208952,Schlieren,%20Switzerland"
58, Im Zentrum 1 ,8105 Regensdorf,058 999 06 74,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Im%20Zentrum%201%20,%208105,Regensdorf,%20Switzerland"
59, Wallisellenstrasse 17,8600 Dübendorf,058 999 06 61,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Wallisellenstrasse%2017,%208600,D%C3%BCbendorf,%20Switzerland"
60, Schaffhauserstrasse 141,8152 Glattbrugg,058 999 04 30,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Schaffhauserstrasse%20141,%208152,Glattbrugg,%20Switzerland"
61, Birmensdorferstrasse 79,8902 Urdorf,058 999 06 78,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Birmensdorferstrasse%2079,%208902,Urdorf,%20Switzerland"
62, Strehlgasse 11,8600 Dübendorf,058 999 13 80,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Strehlgasse%2011,%208600,D%C3%BCbendorf,%20Switzerland"
63, Dorfstrasse 17,8126 Zumikon,058 999 13 54,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Dorfstrasse%2017,%208126,Zumikon,%20Switzerland"
64, Zürcherstrasse 6,8803 Rüschlikon,058 999 04 35,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Z%C3%BCrcherstrasse%206,%208803,R%C3%BCschlikon,%20Switzerland"
65, Wehntalerstrasse 190,8105 Regensdorf,058 999 03 17,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Wehntalerstrasse%20190,%208105,Regensdorf,%20Switzerland"
66, Bahnhofstrasse 40 / 42,8703 Erlenbach ZH,058 999 06 65,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Bahnhofstrasse%2040%20/%2042,%208703,Erlenbach%20ZH,%20Switzerland"
67, Fröschbach 59,8117 Fällanden,043 355 55 50,Denner Express,Bargeldbezug mit Post- / M-Card,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Fr%C3%B6schbach%2059,%208117,F%C3%A4llanden,%20Switzerland"
68, Hintere Grundstrasse 2,8135 Langnau am Albis,058 999 14 25,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Hintere%20Grundstrasse%202,%208135,Langnau%20am%20Albis,%20Switzerland"
69, Alte Landstrasse 130,8800 Thalwil,058 999 03 14,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Alte%20Landstrasse%20130,%208800,Thalwil,%20Switzerland"
70, Schaffhauserstrasse 126,8302 Kloten,058 999 06 69,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Schaffhauserstrasse%20126,%208302,Kloten,%20Switzerland"
71, Riedmattstrasse 4,8153 Rümlang,058 999 05 96,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,07:00 - 21:00,Closed,"https://maps.google.com/maps?saddr&daddr=Riedmattstrasse%204,%208153,R%C3%BCmlang,%20Switzerland"
72, Zürichstrasse 28,8306 Brüttisellen,058 999 65 40,Denner Partner,Bargeldbezug mit Post- / M-Card,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 17:00,Closed,"https://maps.google.com/maps?saddr&daddr=Z%C3%BCrichstrasse%2028,%208306,Br%C3%BCttisellen,%20Switzerland"
73, Löwenstrasse 15,8953 Dietikon,058 999 13 27,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=L%C3%B6wenstrasse%2015,%208953,Dietikon,%20Switzerland"
74, Dorfstrasse 16,8302 Kloten,058 999 04 28,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Dorfstrasse%2016,%208302,Kloten,%20Switzerland"
75, Badenerstrasse 21,8953 Dietikon,058 999 06 08,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Badenerstrasse%2021,%208953,Dietikon,%20Switzerland"
76, Huebwiesenstrasse 29,8954 Geroldswil,044 748 25 77,Denner Express,,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Huebwiesenstrasse%2029,%208954,Geroldswil,%20Switzerland"
77, Bahnstrasse 18,8603 Schwerzenbach,058 999 65 32,Denner Partner,Bargeldbezug mit Post- / M-Card,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,Closed,"https://maps.google.com/maps?saddr&daddr=Bahnstrasse%2018,%208603,Schwerzenbach,%20Switzerland"
78, Industriestrasse 1,8604 Volketswil,058 999 13 18,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 19:00,08:00 - 19:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Industriestrasse%201,%208604,Volketswil,%20Switzerland"
79, Klotenerstrasse 26,8303 Bassersdorf,058 999 13 48,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Klotenerstrasse%2026,%208303,Bassersdorf,%20Switzerland"
80, Fliederweg 2,8107 Buchs ZH,058 999 65 39,Denner Partner,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 17:00,Closed,"https://maps.google.com/maps?saddr&daddr=Fliederweg%202,%208107,Buchs%20ZH,%20Switzerland"
81, Burstwiesenstrasse 1,8606 Greifensee,058 999 13 88,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Burstwiesenstrasse%201,%208606,Greifensee,%20Switzerland"
82, Bellikerstrasse 15,8965 Berikon,058 999 04 61,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Bellikerstrasse%2015,%208965,Berikon,%20Switzerland"
83, Im Zentrum 18,8604 Volketswil,058 999 06 83,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Im%20Zentrum%2018,%208604,Volketswil,%20Switzerland"
84, Jonentalstrasse 1,8910 Affoltern am Albis,058 999 06 14,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Jonentalstrasse%201,%208910,Affoltern%20am%20Albis,%20Switzerland"
85, Zürichstrasse 51,8910 Affoltern am Albis,058 999 03 18,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Z%C3%BCrichstrasse%2051,%208910,Affoltern%20am%20Albis,%20Switzerland"
86, Ruchwiesenstrasse 2,8157 Dielsdorf,058 999 03 05,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Ruchwiesenstrasse%202,%208157,Dielsdorf,%20Switzerland"
87, Hochhaus 9,8957 Spreitenbach,058 999 03 29,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Hochhaus%209,%208957,Spreitenbach,%20Switzerland"
88, Hochhaus 9,8957 Spreitenbach,058 999 04 52,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Hochhaus%209,%208957,Spreitenbach,%20Switzerland"
89, General-Willestrasse 144,8706 Feldmeilen,058 999 13 97,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=General-Willestrasse%20144,%208706,Feldmeilen,%20Switzerland"
90, Zufikerstrasse 2,5620 Bremgarten AG,058 999 03 21,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Zufikerstrasse%202,%205620,Bremgarten%20AG,%20Switzerland"
91, Märtplatz 5,8307 Effretikon,058 999 06 62,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 20:00,08:00 - 20:00,08:00 - 19:00,Closed,"https://maps.google.com/maps?saddr&daddr=M%C3%A4rtplatz%205,%208307,Effretikon,%20Switzerland"
92, Zugerstrasse 3,5620 Bremgarten AG,058 999 05 80,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Zugerstrasse%203,%205620,Bremgarten%20AG,%20Switzerland"
93, Grendelbachstrasse 30,8307 Effretikon,058 999 04 81,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 20:00,07:30 - 19:00,Closed,"https://maps.google.com/maps?saddr&daddr=Grendelbachstrasse%2030,%208307,Effretikon,%20Switzerland"
94, Dorfplatz 2,8810 Horgen,058 999 06 68,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Dorfplatz%202,%208810,Horgen,%20Switzerland"
95, Isenlaufstrasse 2,5620 Bremgarten AG,056 641 11 80,Denner Satellit,Poststelle,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 17:00,Closed,"https://maps.google.com/maps?saddr&daddr=Isenlaufstrasse%202,%205620,Bremgarten%20AG,%20Switzerland"
96, Loren-Allee 22,8610 Uster,058 999 13 44,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Loren-Allee%2022,%208610,Uster,%20Switzerland"
97, Zürichstrasse 20,8610 Uster,058 999 13 84,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Z%C3%BCrichstrasse%2020,%208610,Uster,%20Switzerland"
98, Mönchaltorferstrasse 6,8132 Egg b. Zürich,058 999 05 05,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=M%C3%B6nchaltorferstrasse%206,%208132,Egg%20b.%20Z%C3%BCrich,%20Switzerland"
99, Oberlandstrasse 100,8610 Uster,058 999 14 44,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Oberlandstrasse%20100,%208610,Uster,%20Switzerland"
100, Feldstrasse 85,8180 Bülach,058 999 05 95,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,Closed,"https://maps.google.com/maps?saddr&daddr=Feldstrasse%2085,%208180,B%C3%BClach,%20Switzerland"
101, Seestrasse 338,8810 Horgen,058 999 14 38,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Seestrasse%20338,%208810,Horgen,%20Switzerland"
102, Zürcherstrasse 17,8173 Neerach,058 999 65 42,Denner Partner,"Humidor, Bargeldbezug mit Post- / M-Card",07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Z%C3%BCrcherstrasse%2017,%208173,Neerach,%20Switzerland"
103, Albisstrasse 8,8926 Kappel am Albis,058 999 65 21,Denner Partner,"Humidor, Bargeldbezug mit Post- / M-Card",06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,06:00 - 20:00,07:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Albisstrasse%208,%208926,Kappel%20am%20Albis,%20Switzerland"
104, Dorfstrasse 147,8424 Embrach,058 999 05 82,Denner Express,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 18:00,Closed,"https://maps.google.com/maps?saddr&daddr=Dorfstrasse%20147,%208424,Embrach,%20Switzerland"
105, Bahnhofstrasse 28,8180 Bülach,058 999 06 89,Denner Filiale,"Humidor, Bargeldbezug mit Post- / M-Card",08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,"https://maps.google.com/maps?saddr&daddr=Bahnhofstrasse%2028,%208180,B%C3%BClach,%20Switzerland"
