,Unnamed: 0,QuarLang,Population,FlaecheT,FlaecheL,FlaecheS,DichteT,DichteL,Density_per_settlement_area,HHincome_median,Coop,Denner,Migros
0,0,Affoltern,26935,604.4,495.3,217.1,44.6,54.4,124.0,45.2,2.0,1.0,1.0
1,1,Albisrieden,22875,460.1,271.6,175.5,49.7,84.2,130.3,51.0,3.0,2.0,1.0
2,2,Alt-Wiedikon,18079,169.2,161.7,121.0,106.8,111.8,149.4,61.2,5.0,2.0,2.0
3,3,Altstetten,35642,745.5,565.9,357.3,47.8,63.0,99.7,49.6,6.0,6.0,2.0
4,4,City,820,59.5,54.9,30.0,13.8,14.9,27.3,70.7,5.0,0.0,3.0
5,5,Enge,10017,236.5,172.4,101.5,42.4,58.1,98.7,75.0,2.0,0.0,2.0
6,7,Fluntern,8946,284.4,212.2,140.5,31.5,42.2,63.7,86.08,1.0,1.0,1.0
7,8,Friesenberg,10861,529.7,255.7,131.5,20.5,42.5,82.6,44.9,1.0,2.0,1.0
8,9,Gewerbeschule,9663,73.0,68.0,42.7,132.3,142.1,226.3,52.7,5.0,3.0,3.0
9,11,Hirslanden,7531,218.7,95.1,69.1,34.4,79.2,108.9,63.15,1.0,3.0,0.0
10,15,H̦ngg,24807,698.4,461.9,246.9,35.5,53.7,100.5,55.5,4.0,2.0,1.0
11,17,Leimbach,6462,292.0,156.3,57.8,22.1,41.3,111.9,46.8,1.0,0.0,1.0
12,20,Oberstrass,10909,263.5,160.5,112.8,41.4,68.0,96.7,62.9,2.0,2.0,1.0
13,23,Saatlen,8826,112.8,107.9,84.0,78.2,81.8,105.1,42.6,6.0,4.0,1.0
14,24,Schwamendingen-Mitte,11207,279.2,137.4,87.9,40.1,81.6,127.5,39.6,2.0,2.0,1.0
15,25,Seebach,26980,471.0,425.5,222.8,57.3,63.4,121.1,45.7,1.0,2.0,1.0
16,28,Unterstrass,24953,246.6,241.3,153.7,101.2,103.4,162.3,53.4,1.0,1.0,1.0
17,29,Weinegg,5559,174.5,157.4,100.5,31.8,35.3,55.3,64.2,4.0,1.0,4.0
18,30,Werd,4515,30.2,28.3,18.5,149.3,159.7,244.3,60.5,3.0,5.0,3.0
19,31,Wipkingen,16698,210.2,155.0,107.3,79.4,107.8,155.6,53.65,2.0,1.0,1.0
20,32,Witikon,11402,493.4,284.5,138.1,23.1,40.1,82.6,55.81,1.0,1.0,1.0
21,33,Wollishofen,20570,578.1,347.2,196.6,35.6,59.2,104.6,53.55,2.0,1.0,1.0
